fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1626, ГБОУ детский сад № 1626, 1626, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127562, город Москва, улица Санникова, дом 5, корпус 2",(499) 201-30-00, Sch1626@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 796, ГБОУ детский сад № 796, 796, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117321, г.Москва, улица Профсоюзная, дом 152А",8-495-338-27-00, DOU796@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 403, ГБОУ детский сад № 403, 403, Дошкольное образовательное учреждение, Детский сад присмотра и оздоровления, Бюджетное, Северо-Восточное окружное управление образования," 127081, г. Москва, ул. Полярная, д. 7, кор. 3",(499) 477-25-98, ds403@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 295, ГБОУ детский сад № 295, 295, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 115035, г. Москва, ул.Садовническая, д. 73, стр. 24",(495) 951-54-65, d-s295@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 160, ГБОУ детский сад № 160, 160, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121248 г. Москва, Кутузовский проспект, д. 13",(499) 243-61-20, dou160@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1611, ГБОУ детский сад № 1611, 1611, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125635, г. Москва, улица Талдомская, дом 2Е",(499) 906-82-44, abramovagou1611@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2718, ГБОУ детский сад № 2718, 2718, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 127055 город Москва Тихвинский переулок д. 16, стр.1",(499) 250-18-95, detsad_2718@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 900, ГБОУ детский сад № 900, 900, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117535 г.Москва, Россошанский пр-д, д.5 А",(495) 382-82-72, dou900@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 916, ГБОУ детский сад № 916, 916, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117545 г.Москва, ул.Подольских курсантов, д.8а",(495) 381-85-28, dou916@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 15, ГБОУ детский сад № 15, 15, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129337, город Москва, Ярославское шоссе, дом 8, корпус 4",(499) 183-27-29, gbou15@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2278, ГБОУ детский сад № 2278, 2278, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109153, г.Москва, ул. Моршанская, д.2, к. 2",(495) 705-00-01, galina-2278@mail.ru; www.detsad2278.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 960, ГБОУ детский сад № 960, 960, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115404 Г. Москва,ул. Касимовская, д.15,к.2",(495) 326-11-74, dou960@sinergi.ru
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1842 ""Пересвет"""," ГБОУ ЦРР-детский сад № 1842 ""Пересвет""", 1842, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123056, г. Москва, ул. Б. Грузинская, д. 67, стр. 1",(499) 254-40-79, per1842@yandex.ru; do.peresvet1842@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 594, ГБОУ детский сад № 594, 594, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования, 129282 город Москва улица Тихомирова дом 13,(499) 476-25-38, det.sad_594@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 463, ГБОУ ЦРР-детский сад № 463, 463, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Западное окружное управление образования," 119 454 г.Москва, ул.Лобачевского, д. 56",(499) 431-58-10, crr463@mai.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад №2442, ГБОУ детский сад №2442, 2442, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107065,г.Москва,ул. Камчатская,дом 23",(495) 469-93-12, r2442@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2453, ГБОУ детский сад №2453, 2453, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г. Москва, ул. Грина, дом 30, корпус 1",8 (495) 711-01-05, dou2453@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2574, ГБОУ ЦРР - детский сад № 2574, 2574, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северное окружное управление образования," 125475, г.Москва, улица Дыбенко, д. 34А",(499) 767-33-01, ashirova1263@inbox.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1416, ГБОУ детский сад № 1416, 1416, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127642, город Москва, проезд Шокальского, дом 18 А",(499) 476-56-92, gou1416@rambler.ru; dou1416@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 5, ГБОУ детский сад № 5, 5, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127322, город Москва, улица Фонвизина, дом 14 корпус 1",(495) 610-13-85, dou_ds5@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 608, ГБОУ детский сад № 608, 608, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121609, г.Москва, ул. Крылатские холмы, д. 25, корп. 1",(495) 412-22-94, detsad1479@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2037, ГБОУ детский сад № 2037, 2037, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117216, г. Москва, ул. Старокачаловская, д. 3 Б",8 - 495 - 711-51-09," dou2037@ou.mosuzedu.ru, detsadik2037@inbox.ru"
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1392, ГБОУ детский сад № 1392, 1392, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117437, г. Москва, улица Миклухо-Маклая, дом 18А",330-78-38, dou1392@ou.mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1930, ГБОУ детский сад № 1930, 1930, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 123317 г. Москва, ул. Подвойского, д. 18А",(499) 256-02-22, gou1930@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2550, ГБОУ детский сад № 2550, 2550, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111625, г. Москва, ул. Дмитриевского, д. 3а",(499) 721-69-01, det-sad2550@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2328, ГБОУ детский сад № 2328, 2328, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109341, г. Москва Перерва ул., 52 корп.2",(495) 347-88-41,  detsad-2328@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1848, ГБОУ детский сад № 1848, 1848, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 129347, город Москва, улица Палехская, дом 135",(499) 188-03-65, detсad1848@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2115, ГБОУ детский сад № 2115, 2115, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125040, г. Москва, улица Расковой, д. 1А",#Н/Д, ds21@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 91, ГБОУ детский сад № 91, 91, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 125212, г. Москва, Ленинградское шоссе, дом 29А",(499) 150-15-00, detsad-91@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2298, ГБОУ детский сад № 2298, 2298, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 127247, г. Москва, Бескудниковский бульвар, дом 48-а",(499) 488-50-53, novikova2298@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 133, ГБОУ детский сад № 133, 133, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109456, г. Москва, 4-й Вешняковский пр-д, д.6",(495) 371-63-20, gou133@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1823, ГБОУ детский сад № 1823, 1823, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115522 г. Москва,Кантемировская,д.16,у.4",(499) 320-36-55, dou1823@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1800, ГБОУ детский сад № 1800, 1800, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Западное окружное управление образования," 119634, г.Москва, ул. Шолохова, д. 6, корп. 4",(495) 731-16-77, dou1800@mail.ru; dskvp1800.mskzapad.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2658, ГБОУ детский сад № 2658, 2658, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127204, город .Москва, улица 9-я Северная линия, дом 25",(499) 761-07-31, dou.2658@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1834, ГБОУ детский сад № 1834, 1834, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117587 г. Москва, ул.Кировоградская, д.9а",(495) 313-02-59, dou1834@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 685, ГБОУ детский сад № 685, 685, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121467, г.Москва, ул. Молдавская, д. 10",(499) 141-10-72, dou685@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2516, ГБОУ детский сад № 2516, 2516, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119027, г.Москва, пос. Внуково, ул. Центральная, д. 11, корп. 1",(495) 436-26-17, gou2516@ya.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 787, ГБОУ детский сад № 787, 787, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 125565, г. Москва, Конаковский проезд, дом 11а",(499) 747-68-09, 787ds@mail.ru; ds502@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1892, ГБОУ детский сад № 1892, 1892, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121165 г. Москва, ул. Дунаевского, д.5",(499) 249-22-52, dou1892@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1698, ГБОУ детский сад № 1698, 1698, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119620, г.Москва, ул. Волынская, д. 6",(495) 934-86-22, 1698-08@maili.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2356, ГБОУ детский сад № 2356, 2356, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Южное окружное управление образования," 115612 г. Москва, Братеевская ул., д.10,к.2",(495) 342-98-98, dou2356@sinergi.ru
 Государственное образовательное учреждение детский сад № 2541, ГОУ детский сад № 2541, 2541, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119619 Производственная улица, стр. 4",#Н/Д, нет
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1880, ГБОУ детский сад № 1880, 1880, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119620 г.Москва, ул. Щорса, д. 4, корп. 4",(495) 439-30-94, DetSad1880@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2463, ГБОУ детский сад № 2463, 2463, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117041, г. Москва, ул. Адмирала Руднева, дом 12, корпус 1",714-21-00, cad2463@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2185, ГБОУ детский сад № 2185, 2185, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127081, город Москва, Ясный проезд, дом 7А",(499) 473-24-35, kindergarten2185@yandex.ru; dou2185@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2724, ГБОУ детский сад № 2724, 2724, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109125, г. Москва, Волжский бульвар, д. 18, корп. 4",(499) 177-79-10, planetadetstva2724@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1828, ГБОУ детский сад № 1828, 1828, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 109316 г. Москва, ул.Стройковская, д.5",(495) 670-04-65, GOU1828@yandex.ru; ds1828@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1382, ГБОУ детский сад № 1382, 1382, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119607, г.Москва, ул.Лобачевского, д. 96, корп. 1",(495) 931-41-00, ds1382@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2702, ГБОУ детский сад № 2702, 2702, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127495, город Москва, Дмитровское шоссе, дом 165Е, корпус 2",(499) 661-50-26, dou.2702@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 823, ГБОУ детский сад № 823, 823, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125130, город Москва, улица Зои и Александра Космодемьянских,дом 35А",(499) 231-71-05, gbou823yandex.ru; tat-nagajceva@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2707, ГБОУ детский сад № 2707, 2707, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Зеленоградское окружное управление образования," 124617, г. Москва, Зеленоград, корп.1463",(499) 738-36-66, d2707@zou.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1560, ГБОУ детский сад № 1560, 1560, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107014, г. Москва, ул. Охотничья, д.8",(499) 269-59-20, ds_1560@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1465, ГБОУ детский сад № 1465, 1465, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 123317 Москва, Стрельбищенский пер., дом 21А",(499) 256-14-46, nashdom1465@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 675, ГБОУ детский сад № 675, 675, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119571, г.Москва, ул. 26 Бакинских комиссаров, д. 3, корп. 2",(495) 433-60-13, SAD-675@yandex.ru; http://dskv675.mskzapad.ru/
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1917, ГБОУ детский сад № 1917, 1917, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127083, г. Москва, улица 8 Марта, дом 6 ""а""",(495) 612-63-61, dssav1917@soudo.ru; 1917ds@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2565, ГБОУ детский сад № 2565, 2565, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105122, г. Москва, ул.3-я Парковая , д.61А",(499) 748-27-10, ds2565@mail.ru; gouds2517@mail.ru; detskiysad55@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2589, ГБОУ детский сад №2589, 2589, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117041, г. Москва, ул. Академика Понтрягина, дом 27, корпус 1",(495)715-13-80, dou2589@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 741, ГБОУ детский сад № 741, 741, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 117535 г.Москва,ул. Дорожная,д.26,к.3",(495) 382-73-54, dou741@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2501, ГБОУ детский сад № 2501, 2501, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117452 г. Москва, Чонгарский б-р.д.13",(499) 610-04-22, dou2501@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1210, ГБОУ детский сад № 1210, 1210, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117261, г.Москва, ул. Генерала Тюленева, дом 25, корп. 2",(495) 339-88-44, dou1210@mosuzedu.ru
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2429 ""Теремок"""," ГБОУ ЦРР - детский сад № 2429 ""Теремок""", 2429, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северное окружное управление образования," 125493, г. Москва, улица Пулковская, дом 4А",(495) 708-03-09, gou-ds-2429@mail.ru; teremok_2429@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 977, ГБОУ детский сад № 977, 977, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127576, город Москва, улица Илимская, дом 2 Б",(499) 200-62-29, gou977@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 94, ГБОУ детский сад № 94, 94, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 111538, г. Москва, улица Вешняковская, дом 41А",(499) 373-93-87, vihsenka2008@yandex.ru; http://dskvp94.mskobr.ru/; popovatat94@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 731, ГБОУ ЦРР - детский сад № 731, 731, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115404 г. Москва, ул. Бирюлевская,д.23,к.2",(495) 326-98-88, dou731@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2153, ГБОУ детский сад № 2153, 2153, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127560, город Москва, улица Коненкова, дом 19 Б",(499) 206-95-11, dou-2153@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2620, ГБОУ детский сад № 2620, 2620, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117218, г. Москва, ул. Кедрова, дом 22, корп. 1",(495) 718-99-29, gou2620@gmail.com
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 357, ГБОУ детский сад № 357, 357, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107143, г. Москва Открытое шоссе, дом 23 Б",(499) 167-60-45, detsad357@yandex.ru
