fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,Latitude,Longitude,telephone,email
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 960, ГБОУ детский сад № 960,960, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115404 Г. Москва,ул. Касимовская, д.15,к.2",55.5975335,37.6574405,(495) 326-11-74, dou960@sinergi.ru
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1842 ""Пересвет"""," ГБОУ ЦРР-детский сад № 1842 ""Пересвет""",1 842, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123056, г. Москва, ул. Б. Грузинская, д. 67, стр. 1",55.773343,37.584425,(499) 254-40-79, per1842@yandex.ru; do.peresvet1842@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 594, ГБОУ детский сад № 594,594, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования, 129282 город Москва улица Тихомирова дом 13,55.8859241,37.6498795,(499) 476-25-38, det.sad_594@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 463, ГБОУ ЦРР-детский сад № 463,463, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Западное окружное управление образования," 119 454 г.Москва, ул.Лобачевского, д. 56",55.6737259,37.4932502,(499) 431-58-10, crr463@mai.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад №2442, ГБОУ детский сад №2442,2 442, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107065,г.Москва,ул. Камчатская,дом 23",55.8291305,37.8220676,(495) 469-93-12, r2442@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2453, ГБОУ детский сад №2453,2 453, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г. Москва, ул. Грина, дом 30, корпус 1",55.56878099999999,37.570061,8 (495) 711-01-05, dou2453@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2574, ГБОУ ЦРР - детский сад № 2574,2 574, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северное окружное управление образования," 125475, г.Москва, улица Дыбенко, д. 34А",55.875598,37.486756,(499) 767-33-01, ashirova1263@inbox.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1416, ГБОУ детский сад № 1416,1 416, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127642, город Москва, проезд Шокальского, дом 18 А",55.87886839999999,37.6475848,(499) 476-56-92, gou1416@rambler.ru; dou1416@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 5, ГБОУ детский сад № 5, 5, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127322, город Москва, улица Фонвизина, дом 14 корпус 1",55.82056129999999,37.5878516,(495) 610-13-85, dou_ds5@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 608, ГБОУ детский сад № 608,608, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121609, г.Москва, ул. Крылатские холмы, д. 25, корп. 1",55.7565572,37.4144153,(495) 412-22-94, detsad1479@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2037, ГБОУ детский сад № 2037,2 037, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117216, г. Москва, ул. Старокачаловская, д. 3 Б",55.5677041,37.582842,8 - 495 - 711-51-09," dou2037@ou.mosuzedu.ru, detsadik2037@inbox.ru"
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1392, ГБОУ детский сад № 1392,1 392, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117437, г. Москва, улица Миклухо-Маклая, дом 18А",55.6440072,37.5174366,330-78-38, dou1392@ou.mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1930, ГБОУ детский сад № 1930,1 930, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 123317 г. Москва, ул. Подвойского, д. 18А",55.7634025,37.5382652,(499) 256-02-22, gou1930@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2550, ГБОУ детский сад № 2550,2 550, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111625, г. Москва, ул. Дмитриевского, д. 3а",55.7100655,37.8831532,(499) 721-69-01, det-sad2550@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2328, ГБОУ детский сад № 2328,2 328, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109341, г. Москва Перерва ул., 52 корп.2",55.655845,37.7467329,(495) 347-88-41,  detsad-2328@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1848, ГБОУ детский сад № 1848,1 848, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 129347, город Москва, улица Палехская, дом 135",55.8764055,37.7107849,(499) 188-03-65, detсad1848@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2115, ГБОУ детский сад № 2115,2 115, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125040, г. Москва, улица Расковой, д. 1А",55.78709629999999,37.5705791,#Н/Д, ds21@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 91, ГБОУ детский сад № 91, 91, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 125212, г. Москва, Ленинградское шоссе, дом 29А",55.830196,37.485975,(499) 150-15-00, detsad-91@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2298, ГБОУ детский сад № 2298,2 298, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 127247, г. Москва, Бескудниковский бульвар, дом 48-а",55.87370000000001,37.5419798,(499) 488-50-53, novikova2298@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 133, ГБОУ детский сад № 133,133, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109456, г. Москва, 4-й Вешняковский пр-д, д.6",55.718895,37.795915,(495) 371-63-20, gou133@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1823, ГБОУ детский сад № 1823,1 823, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115522 г. Москва,Кантемировская,д.16,у.4",55.6398363,37.66745770000001,(499) 320-36-55, dou1823@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1800, ГБОУ детский сад № 1800,1 800, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Западное окружное управление образования," 119634, г.Москва, ул. Шолохова, д. 6, корп. 4",55.6377435,37.3607556,(495) 731-16-77, dou1800@mail.ru; dskvp1800.mskzapad.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2658, ГБОУ детский сад № 2658,2 658, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127204, город .Москва, улица 9-я Северная линия, дом 25",55.9329065,37.5524337,(499) 761-07-31, dou.2658@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1834, ГБОУ детский сад № 1834,1 834, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117587 г. Москва, ул.Кировоградская, д.9а",55.624095,37.6126576,(495) 313-02-59, dou1834@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 685, ГБОУ детский сад № 685,685, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121467, г.Москва, ул. Молдавская, д. 10",55.7316744,37.4371973,(499) 141-10-72, dou685@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2516, ГБОУ детский сад № 2516,2 516, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119027, г.Москва, пос. Внуково, ул. Центральная, д. 11, корп. 1",55.6124904,37.2897498,(495) 436-26-17, gou2516@ya.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 787, ГБОУ детский сад № 787,787, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 125565, г. Москва, Конаковский проезд, дом 11а",55.8475151,37.48003,(499) 747-68-09, 787ds@mail.ru; ds502@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1892, ГБОУ детский сад № 1892,1 892, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121165 г. Москва, ул. Дунаевского, д.5",55.7413216,37.5483495,(499) 249-22-52, dou1892@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1698, ГБОУ детский сад № 1698,1 698, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119620, г.Москва, ул. Волынская, д. 6",55.644755,37.4127,(495) 934-86-22, 1698-08@maili.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2356, ГБОУ детский сад № 2356,2 356, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Южное окружное управление образования," 115612 г. Москва, Братеевская ул., д.10,к.2",55.631816,37.7607739,(495) 342-98-98, dou2356@sinergi.ru
 Государственное образовательное учреждение детский сад № 2541, ГОУ детский сад № 2541,2 541, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119619 Производственная улица, стр. 4",55.6487296,37.3866379,#Н/Д, нет
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1880, ГБОУ детский сад № 1880,1 880, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119620 г.Москва, ул. Щорса, д. 4, корп. 4",55.6476451,37.4038718,(495) 439-30-94, DetSad1880@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2463, ГБОУ детский сад № 2463,2 463, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117041, г. Москва, ул. Адмирала Руднева, дом 12, корпус 1",55.541751,37.52398,714-21-00, cad2463@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2185, ГБОУ детский сад № 2185,2 185, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127081, город Москва, Ясный проезд, дом 7А",55.87292799999999,37.625781,(499) 473-24-35, kindergarten2185@yandex.ru; dou2185@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2724, ГБОУ детский сад № 2724,2 724, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109125, г. Москва, Волжский бульвар, д. 18, корп. 4",55.7110075,37.739163,(499) 177-79-10, planetadetstva2724@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1828, ГБОУ детский сад № 1828,1 828, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 109316 г. Москва, ул.Стройковская, д.5",55.73358959999999,37.6751787,(495) 670-04-65, GOU1828@yandex.ru; ds1828@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1382, ГБОУ детский сад № 1382,1 382, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119607, г.Москва, ул.Лобачевского, д. 96, корп. 1",55.68227450000001,37.482825,(495) 931-41-00, ds1382@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2702, ГБОУ детский сад № 2702,2 702, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127495, город Москва, Дмитровское шоссе, дом 165Е, корпус 2",55.925061,37.542575,(499) 661-50-26, dou.2702@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 823, ГБОУ детский сад № 823,823, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125130, город Москва, улица Зои и Александра Космодемьянских,дом 35А",55.82546290000001,37.5248131,(499) 231-71-05, gbou823yandex.ru; tat-nagajceva@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2707, ГБОУ детский сад № 2707,2 707, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Зеленоградское окружное управление образования," 124617, г. Москва, Зеленоград, корп.1463",55.9846714,37.1828689,(499) 738-36-66, d2707@zou.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1560, ГБОУ детский сад № 1560,1 560, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107014, г. Москва, ул. Охотничья, д.8",55.7957416,37.684602,(499) 269-59-20, ds_1560@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1465, ГБОУ детский сад № 1465,1 465, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 123317 Москва, Стрельбищенский пер., дом 21А",55.7633129,37.5390574,(499) 256-14-46, nashdom1465@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 675, ГБОУ детский сад № 675,675, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119571, г.Москва, ул. 26 Бакинских комиссаров, д. 3, корп. 2",55.656329,37.489735,(495) 433-60-13, SAD-675@yandex.ru; http://dskv675.mskzapad.ru/
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1917, ГБОУ детский сад № 1917,1 917, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127083, г. Москва, улица 8 Марта, дом 6 ""а""",55.80162499999999,37.556771,(495) 612-63-61, dssav1917@soudo.ru; 1917ds@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2565, ГБОУ детский сад № 2565,2 565, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105122, г. Москва, ул.3-я Парковая , д.61А",55.8069097,37.7800587,(499) 748-27-10, ds2565@mail.ru; gouds2517@mail.ru; detskiysad55@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2589, ГБОУ детский сад №2589,2 589, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117041, г. Москва, ул. Академика Понтрягина, дом 27, корпус 1",55.5316511,37.502118,(495)715-13-80, dou2589@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 741, ГБОУ детский сад № 741,741, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 117535 г.Москва,ул. Дорожная,д.26,к.3",55.5981401,37.6152602,(495) 382-73-54, dou741@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2501, ГБОУ детский сад № 2501,2 501, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117452 г. Москва, Чонгарский б-р.д.13",55.6519729,37.6096279,(499) 610-04-22, dou2501@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1210, ГБОУ детский сад № 1210,1 210, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117261, г.Москва, ул. Генерала Тюленева, дом 25, корп. 2",55.619834,37.489737,(495) 339-88-44, dou1210@mosuzedu.ru
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2429 ""Теремок"""," ГБОУ ЦРР - детский сад № 2429 ""Теремок""",2 429, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северное окружное управление образования," 125493, г. Москва, улица Пулковская, дом 4А",55.8441631,37.4869266,(495) 708-03-09, gou-ds-2429@mail.ru; teremok_2429@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 977, ГБОУ детский сад № 977,977, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127576, город Москва, улица Илимская, дом 2 Б",55.89259879999999,37.5709892,(499) 200-62-29, gou977@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 94, ГБОУ детский сад № 94, 94, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 111538, г. Москва, улица Вешняковская, дом 41А",55.717669,37.8239421,(499) 373-93-87, vihsenka2008@yandex.ru; http://dskvp94.mskobr.ru/; popovatat94@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 731, ГБОУ ЦРР - детский сад № 731,731, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115404 г. Москва, ул. Бирюлевская,д.23,к.2",55.593933,37.668168,(495) 326-98-88, dou731@sinergi.ru
