fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email,location
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №1033, ГБОУ детский сад № 1033,1 033, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127543, г.Москва, ул. Корнейчука, д. 32А",(499) 206-65-47, svetlana_chzhan@mail.ru; detsad1033@mail.ru,POINT(37.6213407 55.89860479999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 4, ГБОУ детский сад № 4, 4, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Западное окружное управление образования," 119333, г.Москва, Университетский проспект, дом 6, корп. 4",(499) 137-35-22, dou4@ou.mosuzedu.ru; kdou4uz@mail.ru,POINT(37.5546158 55.69975540000001)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 702, ГБОУ детский сад № 702,702, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 129226, г.Москва, улица Сельскохозяйственная, дом 13, корп. 3",(499) 181-20-61, ds702@yandex.ru,POINT(37.6392206 55.8358763)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 605, ГБОУ детский сад № 605,605, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 111020, г. Москва, ул. Сторожевая, д. 38А",(495) 360-31-17, ds605@mail.ru,POINT(37.7156115 55.7633697)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 832, ГБОУ детский сад № 832,832, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127322, г.Москва, ул. Милашенкова, д.10Б",(495) 639-11-00, DOU832@yandex.ru,POINT(37.5836293 55.8269163)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1874, ГБОУ детский сад № 1874,1 874, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 109172, г. Москва, Крестьянская площадь, дом 10/2",(495) 912-12-69, detsad1874@yandex.ru,POINT(37.655309 55.73298)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1453, ГБОУ детский сад № 1453,1 453, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 125599, г. Москва, ул. Бусиновская горка, д. 9",(495) 486-57-67, detsad1453@yandex.ru,POINT(37.4934187 55.8834218)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2685, ГБОУ детский сад № 2685,2 685, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117148, город Москва, улица Маршала Савицкого, дом 26, корпус 3",(499) 232-49-27, dou2685@mosuzedu.ru,POINT(37.59559 55.5033008)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 474, ГБОУ ЦРР-детский сад № 474,474, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127081, город Москва, улица Молодцова, 19, строение 1",(499) 477-04-22, detsad474@yandex.ru,POINT(37.631642 55.878091)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2637, ГБОУ детский сад № 2637,2 637, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121615, г.Москва, Рублевское шоссе, д. 18, корп. 2",(495) 415-70-44, gou2637@mail.ru,POINT(37.432746 55.741591)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2485, ГБОУ детский сад № 2485,2 485, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117042, г. Москва, улица Адмирала Лазарева, дом 13",(499) 743-15-54, dou2485@ou.mosuzedu.ru; dsuz2485.mskobr.ru; sadik2485@mail.ru,POINT(37.53760949999999 55.5452319)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2590, ГБОУ детский сад № 2590,2 590, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117042, г. Москва, улица Академика Понтрягина, дом 11, корпус 2",(495)715-13-60, dc2590@mail.ru,POINT(37.5021793 55.53431699999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1368, ГБОУ детский сад № 1368,1 368, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115142 г.Москва, ул.Коломенская, д.27, к.2",(499) 615-24-94, dou1368@sinergi.ru,POINT(37.690002 55.6755138)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1255, ГБОУ детский сад № 1255,1 255, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127642, город Москва, улица Сухонская, дом 3 А",(499) 478-26-34, goy_detsad1255@mail.ru,POINT(37.6496984 55.87527799999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1287, ГБОУ детский сад № 1287,1 287, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111395, г. Москва,ул.Красный Казанец, д,19 А, строение 1",(499) 373-98-06, rabota1287@mail.ru,POINT(37.803189 55.72290899999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1275, ГБОУ детский сад № 1275,1 275, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109390, г. Москва, ул. Артюхиной, д. 4, корп.2",(499) 178-61-50, ds1275@mail.ru,POINT(37.736425 55.7032775)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 778, ГБОУ детский сад № 778,778, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 107392, г. Москва, улица Халтуринская, д.6",(499) 162-11-32, ds778@mail.ru,POINT(37.7293915 55.800265)
" Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 794 ""Родничок"""," ГБОУ детский сад № 794 ""Родничок""",794, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Восточное окружное управление образования," 105568, город Москва,улица Чечулина,дом 20",(499) 308-29-54, ds794@yandex.ru,POINT(37.8298646 55.7799962)
 Государственное бюджетное образовательное учреждение города Москвы детский сад №1527, ГБОУ детский сад №1527,1 527, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111539, город Москва,улица Реутовская, дом 2Б",(495) 375-85-18, ds1527@rambler.ru; ds1527@rambler.ru; ds1527@rambler.ru; ds1527@rambler.ru,POINT(37.8326721 55.74017809999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1725, ГБОУ детский сад № 1725,1 725, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Западное окружное управление образования," 119620, г. Москва, ул. Авиаторов, д. 18, корп. 2",(495) 934-71-80, detsad1725@rambler.ru,POINT(37.402951 55.644848)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2527, ГБОУ детский сад № 2527,2 527, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125252, город Москва, Ходынский бульвар, дом 17, строение 2",(499) 740-53-17, ds2527@mail.ru,POINT(37.521683 55.788366)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 402, ГБОУ ЦРР-детский сад № 402,402, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127273, город Москва, улица Декабристов, дом 36а",(499) 904-08-01, detsad1127@yandex.ru,POINT(37.6157597 55.8584389)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2436, ГБОУ детский сад № 2436,2 436, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109559, г. Москва, ул. Верхние поля, д. 33, кор. 2",(495) 359-67-01, qou2436@mail.ru,POINT(37.7550871 55.66911169999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 299, ГБОУ детский сад № 299,299, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109117, г. Москва Волгоградский пр-т д. 107, к. 5",(499) 177-40-88, sadik262@yandex.ru; gou299@yandex.ru,POINT(37.7587054 55.7089491)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1904, ГБОУ детский сад № 1904,1 904, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111621, город Москва, улица Оренбургская, дом 10",(495) 700-00-60, dou1904@mail.ru; natalya-ds1904@mail.ru,POINT(37.8595319 55.7129668)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 958, ГБОУ детский сад № 958,958, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117513, г. Москва, Ленинский проспект, дом 131, корпус 3",8 (495) 438-21-88, ds958@mosuzedu.ru,POINT(37.47985 55.643432)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №1989, ГБОУ детский сад № 1989,1 989, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127282 город Москва, улица Тихомирова, дом 13 корпус 2",(499) 478-11-09, dousv1989@yandex.ru,POINT(37.6498795 55.8859241)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2612, ГБОУ детский сад № 2612,2 612, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Восточное окружное управление образования," 109125, г. Москва, Васильцовский переулок, дом 4",(499) 742-82-31, detsad2612@yandex.ru,POINT(37.7493681 55.7153418)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2511, ГБОУ ЦРР - детский сад № 2511,2 511, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123022 г.Москва, ул.Большая Декабрьская, д.10",(495) 609-32-82, crrds2511@mail.ru,POINT(37.5557724 55.767877)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2391, ГБОУ детский сад № 2391,2 391, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117624, г.Москва, Скобелевская улица, дом 1, корпус 4",8-495-717-12-09, dou2391@mosuzedu.ru,POINT(37.5579086 55.5512254)
" Муниципальное автономное дошкольное образовательное учреждение Центр развития ребенка Детский сад №2 ""Рябинка"""," МАДОУ Детский сад №2 ""Рябинка""", 2, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Автономное, Троицкое и новомосковское окружное управление образования," 142190, Москва Город, Троицк Город, Сиреневый Бульвар, 4",#Н/Д, —,POINT(37.2979522 55.47044709999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2223, ГБОУ детский сад № 2223,2 223, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109145, г.Москва ул. Пронская, д.4, корп. 2",(495) 705-54-29, irina.2223@yandex.ru,POINT(37.84351 55.701794)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 895, ГБОУ детский сад № 895,895, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115551 г. Москва, ул. Домодедовская, д.22, корп.4",(495) 391-29-11, dou895@sinergi.ru,POINT(37.70597739999999 55.6126069)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2738, ГБОУ детский сад № 2738,2 738, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 111020, г. Москва, ул. 2-ая Синичкина, дом 7",(495) 360-97-52, det-sad2738@mail.ru,POINT(37.7117449 55.763113)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 853, ГБОУ детский сад № 853,853, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117208, г. Москва, Сумской пр-д, д.2а",(499) 232-61-81, dou853@sinergi.ru,POINT(37.61352 55.6337132)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2494, ГБОУ детский сад № 2494,2 494, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Восточное окружное управление образования," 109469, Москва, Перервинский бульвар д.21, корп. 2",(495) 658-90-10, qou2494@mail.ru,POINT(37.7746545 55.6580142)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 589, ГБОУ детский сад № 589,589, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105264, Москва, 5-я Парковая ул , д. 39",(499) 164-95-93, parkovay1435@mail.ru,POINT(37.7868609 55.8012964)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2162, ГБОУ детский сад № 2162,2 162, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109144, город Москва, улица Люблинская, дом 120",(495) 349-12-60, gou2162@yandex.ru; srp-kp2162@mail.ru; gou2162uvao@ya.ru,POINT(37.7403151 55.6457758)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 705, ГБОУ детский сад № 705,705, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117208, г. Москва, ул.Сумская, д.8А",(495) 312-92-90, dou705@sinergi.ru,POINT(37.6016785 55.6257045)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2306, ГБОУ детский сад № 2306,2 306, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117624, г. Москва, ул. Скобелевская, дом 16",495-716-95-36, http://dsuz2306.mskobr.ru; sad2306@yandex.ru,POINT(37.5529754 55.5462529)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2544, ГБОУ детский сад № 2544,2 544, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109443, г. Москва, Волгоградский проспект, д. 104, к. 2",(499) 746-96-40, sadik2544@mail.ru,POINT(37.77403 55.702801)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 686, ГБОУ детский сад № 686,686, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117208 г. Москва, Чертановская ул. 8-А",(495) 311-35-03, dou686@sinergi.ru,POINT(37.5971088 55.6313621)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1330, ГБОУ детский сад,1 330, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115446 г. Москва, ул.Академика Миллионщикова, д.31, к.2",(499) 612-45-51, dou1330@sinergi.ru,POINT(37.6486378 55.66422)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2582, ГБОУ детский сад № 2582,2 582, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109380, г. Москва, Ставропольский проезд, дом 15",(499) 784-02-60, goudetsad2582@yandex.ru,POINT(37.80065760000001 55.6781482)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 710, ГБОУ детский сад № 710,710, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117209, г. Москва, улица Перекопская, дом 12, корпус 2",(499) 122-70-69, dou710@mosuzedu.ru,POINT(37.582076 55.660121)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1098, ГБОУ детский сад № 1098,1 098, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127572, город Москва, ул. Новгородская, дом 29.",(499) 200-70-11, gou1098@rambler.ru,POINT(37.5789794 55.90364779999999)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2437, ГБОУ ЦРР - детский сад № 2437,2 437, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109469, г. Москва, Перервинский бульвар, д. 20, к. 2",(495) 346-13-00, ulybka2437@mail.ru,POINT(37.770229 55.65405000000001)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 460, ГБОУ детский сад № 460,460, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 127083, г. Москва, Петровско-Разумовская аллея, дом 20",(495) 612-71-53, supersad460@mail.ru; 456ds@mail.ru,POINT(37.5578909 55.7968898)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1195, ГБОУ ЦРР-детский сад № 1195,1 195, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127273, город Москва, улица Отрадная, дом 15А",(499) 203-00-61, centrrr1195@nm.ru,POINT(37.6174218 55.8559778)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 701, ГБОУ детский сад № 701,701, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111141, г. Москва, улица Перовская, дом 52А",(495) 309-36-64, doy701@mail.ru,POINT(37.7868361 55.7446152)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2609, ГБОУ детский сад № 2609,2 609, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109443, г. Москва, Волгоградский проспект, дом 92, корпус 2",(499) 746-92-60, ds-2609@mail.ru,POINT(37.7702376 55.7033143)
